ticker,shortName,marketCap,revenue,netIncome,totalAssets,totalLiabilities,cashAndEquivalents,company
AAPL,Apple Inc.,3791126003712.0,391035000000.0,93736000000.0,364980000000.0,308030000000.0,29943000000.0,Apple Inc
MSF.DEX,,,,,,,,Microsoft Corporation
AMZ.DEX,,,,,,,,Amazon.com Inc
ABEC.DEX,,,,,,,,Alphabet Inc
FB2A.DEX,,,,,,,,Meta Platforms Inc
NVDC34.SAO,,,,,,,,NVIDIA Corporation
TL0.DEX,,,,,,,,Tesla Inc
NFC.DEX,,,,,,,,Netflix Inc
RLNIY,,,9646930000000.0,696480000000.0,19501210000000.0,9404950000000.0,1006450000000.0,Reliance Industries
TCS.BSE,,,,,,,,Tata Consultancy Services
INFY,Infosys Limited,68480409600.0,19277000000.0,3158000000.0,17419000000.0,6164000000.0,2861000000.0,Infosys
HCLTECH.BSE,,,,,,,,HCL Technologies
WIPRO.BSE,,,,,,,,Wipro
ADANIENT.BSE,,,,,,,,Adani Enterprises
HDB,HDFC Bank Limited,174851571712.0,2371508200000.0,673508300000.0,48187671100000.0,39564780100000.0,3222323100000.0,HDFC Bank
IBN,ICICI Bank Limited,109408460800.0,2047152637000.0,510291955000.0,26422414134000.0,23134987712000.0,2383044013000.0,ICICI Bank
SBIN.BSE,,,,,,,,State Bank of India
SSNLF,SAMSUNG ELECTRONICS CO,384360349696.0,300870903000000.0,33621363000000.0,514531948000000.0,112339878000000.0,53705579000000.0,Samsung Electronics
TM,Toyota Motor Corporation,258262695936.0,48036704000000.0,4765086000000.0,93601350000000.0,56722436000000.0,8982404000000.0,Toyota Motor Corporation
SNEC34.SAO,,,,,,,,Sony Group Corporation
IBM,International Business Machines,264840232960.0,62753000000.0,6015000000.0,137175000000.0,109782000000.0,13947000000.0,IBM
,,,,,,,,Intel Corporation
,,,,,,,,Oracle Corporation
,,,,,,,,Siemens AG
,,,,,,,,Unilever
,,,,,,,,Procter & Gamble
,,,,,,,,Johnson & Johnson
,,,,,,,,Coca-Cola
,,,,,,,,PepsiCo
,,,,,,,,Walmart Inc
,,,,,,,,Exxon Mobil Corporation
,,,,,,,,Shell PLC
,,,,,,,,BP PLC
